OrganisationLabel,OrganisationURI,PublishedDate,DurationFrom,DurationTo,LatestData,ReportingPeriodType,GeoEntityName,GeoCode,GeoName,GeoURI,Year,CO2EmissionsTonnesPerPerson
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,TRUE,Calendar Year,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,2017,5.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,2017,4.6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,2017,5.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,2017,3.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,2017,5.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,2017,5.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,2017,6.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,2017,5.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2016-01-01T00:00:00,2016-12-31T23:59:59,,Calendar Year,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,2016,5.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2016-01-01T00:00:00,2016-12-31T23:59:59,,Calendar Year,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,2016,4.8
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2016-01-01T00:00:00,2016-12-31T23:59:59,,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,2016,5.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2016-01-01T00:00:00,2016-12-31T23:59:59,,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,2016,3.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2016-01-01T00:00:00,2016-12-31T23:59:59,,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,2016,5.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2016-01-01T00:00:00,2016-12-31T23:59:59,,Calendar Year,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,2016,5.8
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2016-01-01T00:00:00,2016-12-31T23:59:59,,Calendar Year,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,2016,6.3
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2016-01-01T00:00:00,2016-12-31T23:59:59,,Calendar Year,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,2016,5.8
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2015-01-01T00:00:00,2015-12-31T23:59:59,,Calendar Year,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,2015,5.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2015-01-01T00:00:00,2015-12-31T23:59:59,,Calendar Year,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,2015,5.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2015-01-01T00:00:00,2015-12-31T23:59:59,,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,2015,5.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2015-01-01T00:00:00,2015-12-31T23:59:59,,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,2015,4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2015-01-01T00:00:00,2015-12-31T23:59:59,,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,2015,5.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2015-01-01T00:00:00,2015-12-31T23:59:59,,Calendar Year,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,2015,6.1
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2015-01-01T00:00:00,2015-12-31T23:59:59,,Calendar Year,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,2015,6.6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2015-01-01T00:00:00,2015-12-31T23:59:59,,Calendar Year,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,2015,6.1
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2014-01-01T00:00:00,2014-12-31T23:59:59,,Calendar Year,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,2014,5.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2014-01-01T00:00:00,2014-12-31T23:59:59,,Calendar Year,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,2014,5.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2014-01-01T00:00:00,2014-12-31T23:59:59,,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,2014,5.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2014-01-01T00:00:00,2014-12-31T23:59:59,,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,2014,4.1
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2014-01-01T00:00:00,2014-12-31T23:59:59,,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,2014,5.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2014-01-01T00:00:00,2014-12-31T23:59:59,,Calendar Year,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,2014,6.6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2014-01-01T00:00:00,2014-12-31T23:59:59,,Calendar Year,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,2014,6.8
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2014-01-01T00:00:00,2014-12-31T23:59:59,,Calendar Year,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,2014,6.3
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2013-01-01T00:00:00,2013-12-31T23:59:59,,Calendar Year,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,2013,6.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2013-01-01T00:00:00,2013-12-31T23:59:59,,Calendar Year,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,2013,6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2013-01-01T00:00:00,2013-12-31T23:59:59,,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,2013,6.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2013-01-01T00:00:00,2013-12-31T23:59:59,,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,2013,4.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2013-01-01T00:00:00,2013-12-31T23:59:59,,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,2013,6.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2013-01-01T00:00:00,2013-12-31T23:59:59,,Calendar Year,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,2013,7.1
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2013-01-01T00:00:00,2013-12-31T23:59:59,,Calendar Year,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,2013,7.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2013-01-01T00:00:00,2013-12-31T23:59:59,,Calendar Year,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,2013,6.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2012-01-01T00:00:00,2012-12-31T23:59:59,,Calendar Year,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,2012,6.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2012-01-01T00:00:00,2012-12-31T23:59:59,,Calendar Year,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,2012,6.3
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2012-01-01T00:00:00,2012-12-31T23:59:59,,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,2012,6.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2012-01-01T00:00:00,2012-12-31T23:59:59,,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,2012,5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2012-01-01T00:00:00,2012-12-31T23:59:59,,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,2012,6.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2012-01-01T00:00:00,2012-12-31T23:59:59,,Calendar Year,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,2012,7.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2012-01-01T00:00:00,2012-12-31T23:59:59,,Calendar Year,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,2012,7.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2012-01-01T00:00:00,2012-12-31T23:59:59,,Calendar Year,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,2012,7.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2011-01-01T00:00:00,2011-12-31T23:59:59,,Calendar Year,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,2011,6.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2011-01-01T00:00:00,2011-12-31T23:59:59,,Calendar Year,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,2011,6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2011-01-01T00:00:00,2011-12-31T23:59:59,,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,2011,6.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2011-01-01T00:00:00,2011-12-31T23:59:59,,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,2011,4.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2011-01-01T00:00:00,2011-12-31T23:59:59,,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,2011,6.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2011-01-01T00:00:00,2011-12-31T23:59:59,,Calendar Year,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,2011,6.8
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2011-01-01T00:00:00,2011-12-31T23:59:59,,Calendar Year,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,2011,7.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2011-01-01T00:00:00,2011-12-31T23:59:59,,Calendar Year,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,2011,7
